municipio,ccaa,provincia,ph_medio,dureza_media,parametros_ok,parametros_fuera_rango,n_muestras,n_potable,no_potabilidad
VIATOR,Andalucía,Almería,7.5636363636363635,1391.4166666666667,242,95,28,13,89.61393123907253
BELLMUNT DEL PRIORAT,Cataluña,Tarragona,7.666666666666667,897.1666666666666,46,27,9,0,87.65398706314626
LUCAINENA DE LAS TORRES,Andalucía,Almería,7.92,795.0,112,33,9,0,78.61092102883897
FORÈS,Cataluña,Tarragona,7.7,1203.0,14,5,2,0,76.76773840881651
RELLEU,Comunitat Valenciana,Alicante/Alacant,7.78,818.0,82,20,10,1,75.92848826485796
ADRA,Andalucía,Almería,7.74375,870.0,642,92,69,44,75.80144664988259
TORRENUEVA,Castilla - La Mancha,Ciudad Real,6.866666666666667,752.0,64,19,7,3,74.98437601513996
PRAT DE COMTE,Cataluña,Tarragona,6.683333333333334,978.5,109,16,7,2,73.74264321773055
CODO,Aragón,Zaragoza,7.35,1140.0,57,9,3,0,73.49250640781612
CASTELLAR DE SANTIAGO,Castilla - La Mancha,Ciudad Real,7.760000000000001,836.0,62,12,5,2,73.24420628259924
VILLANUEVA DE LAS TORRES,Andalucía,Granada,7.6,912.5,68,11,5,0,73.10170696216403
SANTANYÍ,"Balears, Illes",Balears (Illes),7.618604651162792,1196.0,1100,85,215,193,72.5542458652169
SABIÑÁN,Aragón,Zaragoza,8.0,995.5,75,10,8,2,72.40248765756542
BUSOT,Comunitat Valenciana,Alicante/Alacant,7.733333333333332,968.0,152,17,10,3,72.1461457627125
TORRALBA DEL PINAR,Comunitat Valenciana,Castellón/Castelló,7.7,996.5,70,9,6,2,72.03470656695879
ALBATANA,Castilla - La Mancha,Albacete,7.2,805.0,68,12,6,1,71.80918051258882
TORÀ,Cataluña,Lleida,7.525,1144.5,111,11,7,0,71.40503322298098
RUEDA DE JALÓN,Aragón,Zaragoza,7.25,1163.5,114,11,7,1,71.29850949874056
URREA DE JALÓN,Aragón,Zaragoza,7.3,1165.0,69,7,3,0,70.91719868544257
FUENTE-ÁLAMO,Castilla - La Mancha,Albacete,7.65,1077.0,57,6,3,0,70.73847730923595
HUÉRCAL-OVERA,Andalucía,Almería,7.823529411764706,1726.0,247,18,20,15,70.68853735793573
MEDIANA DE ARAGÓN,Aragón,Zaragoza,7.699999999999999,863.0,33,5,3,0,70.50716178867776
PARTALOA,Andalucía,Almería,7.633333333333333,1004.0,33,4,4,2,70.47799472643506
VILLARROBLEDO,Castilla - La Mancha,Albacete,7.371428571428572,926.5,146,13,9,0,70.31089840975197
NAVARDÚN,Aragón,Zaragoza,7.6,731.0,24,7,4,1,70.28680154520275
VALLIRANA,Cataluña,Barcelona,7.5582894736842094,928.818181818182,754,47,79,62,69.993216098305
CHINCHILLA DE MONTE-ARAGÓN,Castilla - La Mancha,Albacete,7.85,745.0,55,11,8,3,69.90264842601833
ARMUÑA DE ALMANZORA,Andalucía,Almería,7.733333333333333,1069.0,34,3,3,2,69.20441773233341
VERA,Andalucía,Almería,8.208108108108108,1515.6666666666667,491,23,40,33,69.18860062925812
VILLANUEVA DE ALCARDETE,Castilla - La Mancha,Toledo,7.6,908.0,54,5,2,1,69.10569002353445
VALENZUELA DE CALATRAVA,Castilla - La Mancha,Ciudad Real,6.6625,852.0,112,10,10,4,68.99265682315148
MONREAL DE ARIZA,Aragón,Zaragoza,7.7,898.0,69,6,4,1,68.98231345139097
ONTUR,Castilla - La Mancha,Albacete,7.533333333333334,916.0,73,6,5,2,68.97769097723466
BANYOLES,Cataluña,Girona,7.5,845.0,36,4,3,1,68.50689173548204
AINZÓN,Aragón,Zaragoza,7.65,829.5,84,8,7,4,68.50266336734931
BUSTE (EL),Aragón,Zaragoza,7.7,845.0,71,6,5,1,68.02879070558225
MORATA DE JALÓN,Aragón,Zaragoza,7.74,821.0,91,8,7,3,67.95884460518234
VILLALBA DE PEREJIL,Aragón,Zaragoza,8.066666666666666,872.0,66,5,4,2,67.94239714532873
VILLANUEVA DE SAN JUAN,Andalucía,Sevilla,7.7,882.0,64,3,3,2,66.40869065430472
PROVENCIO (EL),Castilla - La Mancha,Cuenca,7.7,828.0,120,6,5,2,66.01429694071825
TARANCÓN,Castilla - La Mancha,Cuenca,8.02,745.2,219,17,13,4,65.31040915508386
ALAMEDA,Andalucía,Málaga,7.264285714285714,704.3333333333334,170,20,17,10,64.86932308501767
DEHESAS DE GUADIX,Andalucía,Granada,7.65,688.0,78,13,7,1,64.77119007662192
LUMPIAQUE,Aragón,Zaragoza,7.58,762.5,105,7,7,3,64.72334187281648
TORRES TORRES,Comunitat Valenciana,Valencia/València,7.599999999999999,777.0,115,6,7,4,64.5002084853633
RICLA,Aragón,Zaragoza,7.425806451612904,734.0,230,16,34,26,64.11371652636232
URRIÉS,Aragón,Zaragoza,7.866666666666666,730.0,50,5,5,3,63.97229109992932
GÁDOR,Andalucía,Almería,7.566666666666667,764.0,199,9,21,18,63.828897882754376
VILLATOBAS,Castilla - La Mancha,Toledo,7.475,763.0,82,3,4,3,62.673083817202645
FUENDEJALÓN,Aragón,Zaragoza,7.925,661.0,64,12,9,3,62.295265294769074
BORJA,Aragón,Zaragoza,7.775,727.5,93,4,5,3,61.154263309646936
MEDIONA,Cataluña,Barcelona,7.636363636363637,683.0,173,14,18,8,60.45361441650836
ANDORRA,Aragón,Teruel,7.471428571428571,681.5,144,12,11,4,60.24966573003909
ALMUNIA DE DOÑA GODINA (LA),Aragón,Zaragoza,7.5,698.5,127,7,9,6,59.91394554311466
CABEZAMESADA,Castilla - La Mancha,Toledo,7.9,694.0,54,4,2,1,59.87738544780006
POZO CAÑADA,Castilla - La Mancha,Albacete,7.576595744680851,721.0,602,10,94,89,59.44258650726043
POZUELO DE ARAGÓN,Aragón,Zaragoza,7.4,687.0,19,2,3,2,59.39773691538548
ORÉS,Aragón,Zaragoza,7.8,675.0,38,4,4,2,59.07783669814044
PIRA,Cataluña,Tarragona,7.955172413793104,714.0,641,9,363,358,58.69797182158152
MORAL DE CALATRAVA,Castilla - La Mancha,Ciudad Real,7.166666666666667,697.0,136,5,10,9,58.57138256815004
ÀGER,Cataluña,Lleida,7.76,650.0,105,13,7,0,58.39424366795163
FUENTES DE JILOCA,Aragón,Zaragoza,7.9,653.0,45,6,5,2,57.8979646572503
LANTARÓN,País Vasco,Alava,7.853333333333333,677.0,566,23,51,33,57.66543938548322
MURERO,Aragón,Zaragoza,7.800000000000001,652.0,60,7,4,0,57.39638867711337
SANTA MARGALIDA,"Balears, Illes",Balears (Illes),7.394366197183099,682.0,927,23,292,284,56.958686559380034
BENAHADUX,Andalucía,Almería,7.4411764705882355,657.0,151,10,19,16,56.21705973241391
ARÁNDIGA,Aragón,Zaragoza,7.933333333333334,666.0,68,4,4,2,56.21634916102482
AGÓN,Aragón,Zaragoza,7.900000000000001,676.0,58,2,4,3,55.87252078358838
SALINES (SES),"Balears, Illes",Balears (Illes),7.614035087719298,668.0,772,23,225,220,55.784385543748186
SORBAS,Andalucía,Almería,7.75,656.3333333333334,128,6,10,8,54.68119659357444
ALBOX,Andalucía,Almería,7.946666666666667,603.75,447,68,36,1,54.33886733596066
AUÑÓN,Castilla - La Mancha,Guadalajara,7.949999999999999,663.0,60,2,3,2,54.26932029129517
CABRERA D'ANOIA,Cataluña,Barcelona,7.866666666666667,646.0,69,4,3,2,53.442229890404725
VILAFRANCA DE BONANY,"Balears, Illes",Balears (Illes),7.636842105263158,662.0,539,7,202,199,53.348978560030815
FUENTES CLARAS,Aragón,Teruel,7.449999999999999,629.5,68,7,5,1,53.2596654948569
VALDEGANGA,Castilla - La Mancha,Albacete,7.7,629.0,108,10,7,3,53.182556081935
ALCORA (L'),Comunitat Valenciana,Castellón/Castelló,7.846153846153846,625.75,304,25,22,8,53.12624487373867
VILLARALBO,Castilla y León,Zamora,7.279999999999999,620.0,132,12,17,12,51.64329340373257
GANDESA,Cataluña,Tarragona,7.57037037037037,642.0,328,7,164,161,51.11186254884529
BISIMBRE,Aragón,Zaragoza,7.800000000000001,602.0,39,6,4,1,49.2186116817281
ALICÚN DE ORTEGA,Andalucía,Granada,7.933333333333334,597.5,68,10,6,2,48.885281350062144
GINETA (LA),Castilla - La Mancha,Albacete,7.625,608.0,83,7,6,3,48.18896025734862
BENIMARFULL,Comunitat Valenciana,Alicante/Alacant,8.033333333333333,593.5,68,10,4,2,47.884703072118654
RODA (LA),Castilla - La Mancha,Albacete,7.58,598.0,89,9,6,1,46.93479061310974
CASINOS,Comunitat Valenciana,Valencia/València,7.473913043478261,615.0,197,6,25,22,46.7763971797506
ALCALÁ LA REAL,Andalucía,Jaén,7.529761904761905,613.5,500,13,86,78,46.48033703872998
VILELLA ALTA (LA),Cataluña,Tarragona,7.933333333333334,581.0,87,15,13,9,46.307892581309495
BALANEGRA,Andalucía,Almería,8.644444444444444,601.0,152,10,19,16,46.04220169896836
RÁGOL,Andalucía,Almería,7.699999999999999,579.0,24,6,3,1,45.80204992010231
EMPERADOR,Comunitat Valenciana,Valencia/València,7.521739130434782,610.0,192,6,26,23,45.76942720722688
UNDUÉS DE LERDA,Aragón,Zaragoza,7.85,596.0,37,4,4,2,45.58172282861777
TOGA,Comunitat Valenciana,Castellón/Castelló,8.066666666666666,591.0,71,8,5,1,45.49216842719171
OSEJA,Aragón,Zaragoza,7.8,600.0,69,5,5,2,45.46366887135926
MASÓ (LA),Cataluña,Tarragona,7.466666666666666,576.0,80,13,7,2,44.12794549750269
ALBERCA DE ZÁNCARA (LA),Castilla - La Mancha,Cuenca,7.571428571428571,587.0,107,10,8,3,43.884411637962
MURAS,Galicia,Lugo,5.3,22.5,17,3,3,0,43.36406437376659
SANTA MARÍA DEL CAMPO RUS,Castilla - La Mancha,Cuenca,7.325,595.0,70,4,4,2,43.36249951345984
MAIÀ DE MONTCAL,Cataluña,Girona,7.300000000000001,588.0,28,3,2,1,43.07001769637424
FORNELOS DE MONTES,Galicia,Pontevedra,5.9,0.0,53,8,4,0,42.84117511083552
ALDEHUELA (LA),Castilla y León,Avila,7.3,0.0,87,14,13,6,42.11628010682868
ANTAS DE ULLA,Galicia,Lugo,5.85,12.5,27,6,4,0,42.017038243341496
MANCHONES,Aragón,Zaragoza,7.5,581.0,58,6,3,0,41.95445779379957
ALMAGRO,Castilla - La Mancha,Ciudad Real,6.42,579.5,94,9,7,2,41.77403436291067
SAN MARTÍN DE LA VIRGEN DE MONCAYO,Aragón,Zaragoza,7.375,0.7,82,13,8,2,41.71725856845153
MÓRA LA NOVA,Cataluña,Tarragona,7.7,575.0,63,8,5,2,41.52434216031188
INSTINCIÓN,Andalucía,Almería,7.1,587.0,44,3,1,0,41.47461835190038
LOUSAME,Galicia,Coruña (A),5.6,6.0,40,4,4,0,41.39090339514134
NONASPE,Aragón,Zaragoza,8.2,572.0,114,14,7,3,41.33423308850771
MARÇÀ,Cataluña,Tarragona,7.666666666666667,584.0,51,4,5,4,41.33010873063908
IRIXOA,Galicia,Coruña (A),5.433333333333334,23.666666666666668,56,7,5,0,41.32701364373387
QUINTANAR DE LA ORDEN,Castilla - La Mancha,Toledo,7.475,588.0,79,3,4,3,40.46408424497584
CHANTADA,Galicia,Lugo,6.533333333333333,3.25,524,52,76,27,40.405411402563054
VILLARTA,Castilla - La Mancha,Cuenca,7.433333333333334,571.0,72,9,6,2,40.38765924381102
PLANES D'HOSTOLES (LES),Cataluña,Girona,7.575,569.3333333333334,86,11,6,1,40.30522088639771
LUESIA,Aragón,Zaragoza,7.833333333333333,574.0,53,6,5,2,40.23320584028512
RIÓS,Galicia,Ourense,6.55,21.5,89,19,15,4,40.22161246699357
SAN BARTOLOMÉ DE PINARES,Castilla y León,Avila,7.35,0.0,67,9,12,6,40.2159701572401
VIVEROS,Castilla - La Mancha,Albacete,7.633333333333333,568.5,69,9,5,1,39.79664097613696
TORREHERMOSA,Aragón,Zaragoza,7.8,579.0,71,5,4,1,39.78673839400248
ÁLORA,Andalucía,Málaga,7.6875,560.0,240,34,13,0,39.78181759480052
FOZ,Galicia,Lugo,7.359999999999999,15.5,155,24,65,41,39.58560223270284
MERCADAL (ES),"Balears, Illes",Balears (Illes),7.316666666666666,583.75,290,9,19,15,39.44386165433145
CASPE,Aragón,Zaragoza,8.087222222222222,581.0,563,19,63,51,39.20266787439181
SANTA MARÍA DE LOS CABALLEROS,Castilla y León,Avila,7.3,0.0,83,9,14,8,39.15109708234446
MONDARIZ-BALNEARIO,Galicia,Pontevedra,5.866666666666667,2.5,140,9,9,1,38.97416519336484
CAÑIZA (A),Galicia,Pontevedra,5.8875,6.0,150,11,10,1,38.7297755651699
SANTIAGO DEL COLLADO,Castilla y León,Avila,6.6,0.0,68,7,11,7,38.56302667640087
CASAS DE HARO,Castilla - La Mancha,Cuenca,7.4,570.3333333333334,62,6,4,1,38.4333341040357
RUENTE,Cantabria,Cantabria,6.344444444444445,4.0,148,14,11,4,38.385710327368
SAN MIGUEL DE CORNEJA,Castilla y León,Avila,7.2,0.0,22,3,9,6,38.36457376843867
COVELO,Galicia,Pontevedra,5.949999999999999,16.5,224,22,11,0,38.18292684121579
VALDÉS,"Asturias, Principado de",Asturias,6.919354838709677,2.4444444444444446,629,41,37,15,37.94483756326229
BUEU,Galicia,Pontevedra,6.4974358974358974,7.25,244,22,41,22,37.86075633824187
LOBERA DE ONSELLA,Aragón,Zaragoza,7.8,559.0,17,4,3,1,37.80027635899509
RIANXO,Galicia,Coruña (A),6.58,3.4285714285714284,198,16,15,5,37.78028830924865
XOVE,Galicia,Lugo,6.2875,14.0,178,20,13,5,37.76556777595743
TORRE DE CLARAMUNT (LA),Cataluña,Barcelona,7.469230769230768,567.6666666666666,216,16,18,9,37.59895062954945
FISTERRA,Galicia,Coruña (A),6.7,15.0,101,13,15,5,37.3663312722003
POIO,Galicia,Pontevedra,6.85,3.571428571428572,154,12,13,5,37.27582232097973
MONTERREI,Galicia,Ourense,6.75,27.25,135,22,19,5,37.23695665116072
TOURO,Galicia,Coruña (A),6.333333333333333,0.0,139,9,9,2,37.23587824583493
ROSAL (O),Galicia,Pontevedra,5.86,10.0,88,6,5,0,37.22182329127501
RAIRIZ DE VEIGA,Galicia,Ourense,6.0,23.0,93,12,9,2,37.05434356168771
FONTANAREJO,Castilla - La Mancha,Ciudad Real,7.050000000000001,7.333333333333333,67,7,7,4,37.03727667761533
DAROCA,Aragón,Zaragoza,7.375,573.0,350,13,17,8,36.84380821766071
PUEBLA DE DON RODRIGO,Castilla - La Mancha,Ciudad Real,7.016666666666667,5.666666666666667,77,7,9,4,36.82553629283512
TRUJILLO,Extremadura,Cáceres,7.222222222222222,5.0,178,13,15,6,36.78426665381545
REDONDELA,Galicia,Pontevedra,6.984375,6.285714285714286,512,31,37,15,36.53222304617629
JARANDILLA DE LA VERA,Extremadura,Cáceres,7.6,0.0,99,6,9,5,36.49723350923891
SAN CRISTÓBAL DE SEGOVIA,Castilla y León,Segovia,7.4,0.0,41,3,6,4,36.39317754635601
DODRO,Galicia,Coruña (A),6.653125,0.0,324,15,38,26,36.36876921522801
LLOSA (LA),Comunitat Valenciana,Castellón/Castelló,7.715384615384615,568.0,361,18,42,32,36.30167976598474
GOMESENDE,Galicia,Ourense,5.975,25.33333333333333,80,10,8,0,36.23059917752808
CHULILLA,Comunitat Valenciana,Valencia/València,7.438888888888889,576.0,377,7,54,51,36.22952221857522
PUERTO CASTILLA,Castilla y León,Avila,7.466666666666666,0.0,111,6,10,6,36.16975740343513
SANTO TOMÉ DEL PUERTO,Castilla y León,Segovia,6.7,9.0,78,7,16,11,36.05242901301904
ARENAS DE SAN PEDRO,Castilla y León,Avila,7.024324324324324,0.0,197,9,48,41,35.99474289849915
TRESCASAS,Castilla y León,Segovia,7.45,0.0,122,6,9,5,35.9170555968168
FOLGOSO DO COUREL,Galicia,Lugo,6.9,7.0,29,3,2,0,35.90029709164557
PALAZUELOS DE ERESMA,Castilla y León,Segovia,7.090000000000001,0.0,234,10,24,18,35.88192103107258
MONTUÏRI,"Balears, Illes",Balears (Illes),7.798275862068966,575.0,545,9,201,198,35.8359948215737
SOLANA DE ÁVILA,Castilla y León,Avila,6.659999999999999,0.0,75,4,11,7,35.82812149468902
MEZQUITA (A),Galicia,Ourense,6.3,7.666666666666667,155,10,8,4,35.73306409491448
SAN GARCÍA DE INGELMOS,Castilla y León,Avila,8.3,38.5,60,13,9,3,35.65549351381022
CARTELLE,Galicia,Ourense,6.8375,11.25,187,14,14,4,35.60845132564305
HORCAJO DE LOS MONTES,Castilla - La Mancha,Ciudad Real,7.15,11.333333333333334,79,7,7,4,35.49700668233667
TABOADA,Galicia,Lugo,7.050000000000001,25.0,26,5,4,1,35.46817825946171
PONTEDEVA,Galicia,Ourense,6.15,24.5,124,14,6,1,35.45682157832824
REAL SITIO DE SAN ILDEFONSO,Castilla y León,Segovia,7.3375,0.0,183,7,15,10,35.40257215760472
LANTEIRA,Andalucía,Granada,7.5,0.0,62,3,3,1,35.400530206018296
BEADE,Galicia,Ourense,6.324999999999999,14.666666666666666,128,11,10,3,35.37724384742636
HERVÁS,Extremadura,Cáceres,7.75,0.0,63,3,6,3,35.36683587685748
RIBEIRA,Galicia,Coruña (A),7.022222222222222,0.0,360,12,20,11,35.36527988047282
MEIS,Galicia,Pontevedra,6.333333333333333,7.0,73,5,4,1,35.35619326322737
ARANGA,Galicia,Coruña (A),7.07,8.0,201,12,14,6,35.301294284994995
OUROL,Galicia,Lugo,7.075,0.0,95,4,7,3,35.29101223393218
VIANA DO BOLO,Galicia,Ourense,6.811111111111111,0.0,165,6,9,3,35.209207619375505
CABANA DE BERGANTIÑOS,Galicia,Coruña (A),7.025,8.0,125,8,9,4,35.18577024556975
SAN CRISTOVO DE CEA,Galicia,Ourense,6.175,18.5,125,11,8,2,35.11276734510648
MONDARIZ,Galicia,Pontevedra,6.411111111111111,7.0,207,11,11,5,35.11099095236713
BANDE,Galicia,Ourense,6.1,18.5,90,8,6,1,35.105998355166065
COSTITX,"Balears, Illes",Balears (Illes),7.847368421052632,573.0,521,8,188,185,35.098874511406294
ZAS,Galicia,Coruña (A),6.25,15.0,94,8,7,1,35.0884248082295
XINZO DE LIMIA,Galicia,Ourense,6.3446428571428575,37.5,391,51,56,8,35.07054974154419
ARIZA,Aragón,Zaragoza,7.8,568.0,87,4,5,3,35.05129455802725
DOZÓN,Galicia,Pontevedra,6.300000000000001,12.5,57,5,4,0,35.050436770774304
POBRA DO CARAMIÑAL (A),Galicia,Coruña (A),6.5,9.125,181,11,12,2,35.0455410477568
MUÍÑOS,Galicia,Ourense,6.26,20.75,133,13,10,2,35.02502601963218
VALDEMANCO DEL ESTERAS,Castilla - La Mancha,Ciudad Real,6.6275,0.0,75,3,7,4,35.020835299500206
PEREIRO DE AGUIAR (O),Galicia,Ourense,6.765714285714286,6.125,522,22,39,21,34.995084520046944
CAMBADOS,Galicia,Pontevedra,6.82,2.5,144,6,6,1,34.96870123542229
CERDEDO-COTOBADE,Galicia,Pontevedra,6.942857142857143,12.5,101,8,9,4,34.96650743634639
FRIOL,Galicia,Lugo,6.533333333333334,4.5,72,4,4,1,34.95432006988448
NAVACEPEDILLA DE CORNEJA,Castilla y León,Avila,7.2,0.0,78,3,7,4,34.948177359591256
PUEBLA DE SANABRIA,Castilla y León,Zamora,6.840000000000001,0.0,358,10,204,196,34.909292110342605
RÚA (A),Galicia,Ourense,7.044444444444444,20.0,239,21,28,13,34.90829716015378
SOUTOMAIOR,Galicia,Pontevedra,6.652631578947369,0.0,154,5,27,22,34.893949912846146
PORRIÑO (O),Galicia,Pontevedra,7.0633333333333335,0.0,194,6,11,7,34.88648720862659
RIAZA,Castilla y León,Segovia,6.883333333333333,3.0,114,5,19,16,34.86732672864415
LITUÉNIGO,Aragón,Zaragoza,7.5,4.85,73,4,5,1,34.844004713437776
PLASENCIA,Extremadura,Cáceres,6.993333333333334,0.0,251,7,18,14,34.76149979255214
VAL DO DUBRA,Galicia,Coruña (A),6.627272727272728,0.0,126,4,13,10,34.75009107224668
VILLAMAYOR DE CALATRAVA,Castilla - La Mancha,Ciudad Real,7.3,6.5,66,4,7,4,34.745392275559226
PERANZANES,Castilla y León,León,7.233333333333333,5.0,77,4,10,6,34.68090314612167
PONTEAREAS,Galicia,Pontevedra,8.25,0.0,218,6,39,33,34.67611176874284
PÓRTUGOS,Andalucía,Granada,7.7,3.0,14,1,2,1,34.62258872223978
ROIS,Galicia,Coruña (A),6.6,0.0,230,6,21,16,34.58527717246679
NAVAS DE LA CONCEPCIÓN (LAS),Andalucía,Sevilla,7.65,0.0,58,2,2,0,34.55543693208666
CUDILLERO,"Asturias, Principado de",Asturias,7.0,12.75,77,6,11,6,34.542000143324074
MOAÑA,Galicia,Pontevedra,6.866666666666666,5.0,262,10,11,5,34.51012537724662
CASTELLGALÍ,Cataluña,Barcelona,7.6689655172413795,567.0,302,10,115,111,34.50154013163443
CHANDREXA DE QUEIXA,Galicia,Ourense,7.033333333333334,13.5,75,6,6,3,34.47135471918251
MEDINILLA,Castilla y León,Avila,6.813888888888889,0.0,247,6,43,39,34.46980270368248
NEDA,Galicia,Coruña (A),6.652941176470588,0.0,151,4,20,16,34.45478297054821
CARNOTA,Galicia,Coruña (A),6.633333333333333,6.5,74,4,5,2,34.452780399333605
COIRÓS,Galicia,Coruña (A),6.633333333333333,10.0,76,5,5,1,34.41362893265209
PORTO DO SON,Galicia,Coruña (A),6.340000000000001,13.666666666666666,99,7,5,1,34.32565912381767
CASTROVERDE,Galicia,Lugo,6.7,7.5,72,4,4,1,34.30432006988448
MAZARICOS,Galicia,Coruña (A),6.199999999999999,16.333333333333332,188,12,11,1,34.28964108391984
SANTA COMBA,Galicia,Coruña (A),6.610526315789474,7.5,264,11,23,16,34.24724051943029
CALVOS DE RANDÍN,Galicia,Ourense,,20.0,3,1,1,0,34.20205883829454
SAN MARTÍN DE LA VEGA DEL ALBERCHE,Castilla y León,Avila,6.833333333333333,0.0,76,2,7,5,34.180556866333475
VEIGA (A),Galicia,Ourense,6.925,18.5,89,8,7,2,34.16379138254779
LAROUCO,Galicia,Ourense,6.566666666666666,14.5,77,6,4,1,34.16283347665741
RIOFRÍO DE RIAZA,Castilla y León,Segovia,6.8,1.5,61,2,6,4,34.15542051588555
LOBEIRA,Galicia,Ourense,6.166666666666667,18.5,74,6,5,1,34.12129302191459
VILAGARCÍA DE AROUSA,Galicia,Pontevedra,6.617647058823529,8.5,343,14,20,11,34.11747038415728
PONTES DE GARCÍA RODRÍGUEZ (AS),Galicia,Coruña (A),6.755,0.0,316,6,50,44,34.11487176736037
SALCEDA DE CASELAS,Galicia,Pontevedra,7.475,0.0,86,2,4,3,34.030216944226865
SELAYA,Cantabria,Cantabria,7.425,0.0,88,2,5,3,34.00361983550562
ALCUDIA DE MONTEAGUD,Andalucía,Almería,7.4,6.0,14,1,2,1,33.972588722239784
FUENCALIENTE,Castilla - La Mancha,Ciudad Real,7.5,5.0,74,3,5,3,33.962795201745
SARREAUS,Galicia,Ourense,6.44,18.5,209,15,8,3,33.95416831074601
NAVAS DEL MARQUÉS (LAS),Castilla y León,Avila,7.109999999999999,11.25,221,11,19,13,33.93931614154457
ARZÚA,Galicia,Coruña (A),7.011111111111111,0.0,156,3,22,19,33.93636994770769
CANDELEDA,Castilla y León,Avila,7.089509803921569,0.0,754,11,111,106,33.93241184053228
ALLARIZ,Galicia,Ourense,7.171428571428572,13.833333333333334,209,12,17,7,33.90314849604479
LEIRO,Galicia,Ourense,6.8,10.5,237,11,11,3,33.895885999664024
VERÍN,Galicia,Ourense,6.5375,15.666666666666666,207,13,11,2,33.89029067735539
GONDOMAR,Galicia,Pontevedra,6.800000000000001,9.75,252,11,15,5,33.88571901908419
CAMARIÑAS,Galicia,Coruña (A),6.800000000000001,7.5,175,7,11,4,33.880472780485434
MESÍA,Galicia,Coruña (A),6.775,11.5,62,4,7,4,33.8307811691433
SANTA MARÍA DE LA ALAMEDA,"Madrid, Comunidad de",Madrid,8.333333333333334,0.0,742,10,61,52,33.82128960660902
TOQUES,Galicia,Coruña (A),7.05,18.0,40,4,5,2,33.79090339514135
BÉJAR,Castilla y León,Salamanca,7.030588235294117,0.0,259,4,24,22,33.77207964330334
CELANOVA,Galicia,Ourense,7.1923076923076925,0.0,356,5,53,50,33.724025805780975
BARRO,Galicia,Pontevedra,7.279999999999999,13.25,139,8,9,3,33.708523624841455
VIVEIRO,Galicia,Lugo,7.155555555555556,3.0,213,5,21,17,33.70403843915705
CORPA,"Madrid, Comunidad de",Madrid,8.081578947368422,0.0,546,7,45,39,33.69946164938239
TABOADELA,Galicia,Ourense,7.1000000000000005,9.0,82,4,7,3,33.665749850224124
MIÑO,Galicia,Coruña (A),6.966666666666666,9.166666666666666,326,12,18,7,33.61649249636961
BURELA,Galicia,Lugo,7.066666666666666,6.5,75,3,5,2,33.612501966166874
MERCA (A),Galicia,Ourense,7.35,22.0,158,13,55,44,33.60328317531359
BENIZALÓN,Andalucía,Almería,7.0,2.0,34,1,2,1,33.602460497433576
PERALES DE TAJUÑA,"Madrid, Comunidad de",Madrid,7.952272727272727,0.0,606,7,49,43,33.59967286697464
RAMIRÁS,Galicia,Ourense,6.68,25.0,112,11,13,5,33.5495647018279
MUROS,Galicia,Coruña (A),6.8500000000000005,9.0,146,6,9,4,33.52854876924552
BEARIZ,Galicia,Ourense,5.84,25.75,171,9,8,0,33.508594995671594
GORDEXOLA,País Vasco,Vizcaya,7.728947368421053,0.0,565,6,40,35,33.5007399461019
MORAÑA,Galicia,Pontevedra,7.0,6.0,86,3,6,3,33.47518466477373
BALMASEDA,País Vasco,Vizcaya,7.813043478260869,0.0,359,4,27,23,33.47473617646888
VILASANTAR,Galicia,Coruña (A),6.425,16.75,179,11,13,5,33.46674037464869
PORTEZUELO,Extremadura,Cáceres,6.3625,12.0,121,6,17,14,33.455151890636145
ESPINAR (EL),Castilla y León,Segovia,7.1,8.0,168,6,21,18,33.43810768766159
SANXENXO,Galicia,Pontevedra,7.130769230769231,10.75,307,12,16,7,33.425685305881544
VALCABADO,Castilla y León,Zamora,7.279999999999999,554.0,41,5,10,8,33.3987781636962
CASASECA DE LAS CHANAS,Castilla y León,Zamora,7.409999999999999,16.5,123,8,20,12,33.39779565427759
ONDARROA,País Vasco,Vizcaya,8.00625,0.0,281,3,18,16,33.39564089123975
NEGUEIRA DE MUÑIZ,Galicia,Lugo,6.5,11.0,30,2,3,1,33.3946425055415
RECAS,Castilla - La Mancha,Toledo,7.6,0.0,71,1,4,3,33.393845716905915
POZUELO DEL REY,"Madrid, Comunidad de",Madrid,8.038461538461538,0.0,527,5,41,37,33.38512990002338
COLMENAR DE OREJA,"Madrid, Comunidad de",Madrid,8.084782608695651,0.0,656,6,51,47,33.383247355161224
ILLA DE AROUSA (A),Galicia,Pontevedra,6.65,12.0,119,6,8,5,33.38212297300507
CADREITA,"Navarra, Com. Foral de",Navarra,7.876923076923077,0.28,163,2,13,12,33.36878565848907
RIOJA,Andalucía,Almería,7.783333333333333,559.0,168,10,20,17,33.34011902526891
LASTRILLA (LA),Castilla y León,Segovia,7.400000000000001,8.0,74,3,7,5,33.312795201745004
CANGAS,Galicia,Pontevedra,6.747619047619047,10.25,302,11,23,16,33.30999683495696
CURTIS,Galicia,Coruña (A),6.9,13.0,297,13,15,7,33.293848229704146
VALDARACETE,"Madrid, Comunidad de",Madrid,8.720454545454546,0.0,606,5,47,43,33.28765126217419
TORREIGLESIAS,Castilla y León,Segovia,7.083333333333333,6.0,139,4,12,9,33.28523634947245
RIBADAVIA,Galicia,Ourense,7.212307692307692,0.0,483,4,66,63,33.26266719579299
NEGREIRA,Galicia,Coruña (A),6.733333333333333,12.0,74,4,5,1,33.26111373266694
