municipio,ccaa,provincia,ph_medio,dureza_media,parametros_ok,parametros_fuera_rango,n_muestras,n_potable,no_potabilidad
VILLARDONDIEGO,Castilla y León,Zamora,7.711111111111112,284.5,103,0,11,11,0.0
BELLCAIRE D'URGELL,Cataluña,Lleida,8.1,,41,0,1,1,0.0
TIERZ,Aragón,Huesca,7.8,,85,0,7,7,0.0
ALCONADA,Castilla y León,Salamanca,7.5,,12,0,3,3,0.0
TINAJAS,Castilla - La Mancha,Cuenca,7.9,,11,0,1,1,0.0
ALCOLETGE,Cataluña,Lleida,8.1,175.0,252,0,52,52,0.0
TOBA (LA),Castilla - La Mancha,Guadalajara,7.9,,12,0,1,1,0.0
ALCOLEA DE CINCA,Aragón,Huesca,7.975,,72,0,4,4,0.0
VILLARDEFRADES,Castilla y León,Valladolid,7.4,,13,0,3,3,0.0
VILLARDIEGUA DE LA RIBERA,Castilla y León,Zamora,7.9,,13,0,3,3,0.0
TITAGUAS,Comunitat Valenciana,Valencia/València,7.1000000000000005,,62,0,3,3,0.0
SOTÉS,"Rioja, La",Rioja (La),8.1,,12,0,1,1,0.0
VILLAREJO DE FUENTES,Castilla - La Mancha,Cuenca,7.599999999999999,,71,0,3,3,0.0
ZARAPICOS,Castilla y León,Salamanca,6.6,,12,0,3,3,0.0
ABIEGO,Aragón,Huesca,8.066666666666666,,30,0,3,3,0.0
TABANERA DE CERRATO,Castilla y León,Palencia,,,2,0,2,2,0.0
ABLA,Andalucía,Almería,7.693333333333332,265.6666666666667,148,0,7,7,0.0
SENA,Aragón,Huesca,8.2,,20,0,2,2,0.0
VISTABELLA,Aragón,Zaragoza,7.95,,27,0,3,3,0.0
SENAN,Cataluña,Tarragona,8.3,,12,0,1,1,0.0
ZORITA DE LA FRONTERA,Castilla y León,Salamanca,8.0,,13,0,4,4,0.0
ZOTES DEL PÁRAMO,Castilla y León,León,8.149999999999999,,55,0,7,7,0.0
SERNA (LA),Castilla y León,Palencia,8.1,,14,0,5,5,0.0
BLASCONUÑO DE MATACABRAS,Castilla y León,Avila,7.6,222.0,21,0,5,5,0.0
ZUCAINA,Comunitat Valenciana,Castellón/Castelló,8.0,,61,0,3,3,0.0
SEQUERA DE FRESNO,Castilla y León,Segovia,8.5,,12,0,3,3,0.0
SEMPERE,Comunitat Valenciana,Valencia/València,7.676923076923076,,84,0,13,13,0.0
ABLANQUE,Castilla - La Mancha,Guadalajara,8.1,,10,0,1,1,0.0
SEPULCRO-HILARIO,Castilla y León,Salamanca,8.0,,13,0,3,3,0.0
SENÉS DE ALCUBIERRE,Aragón,Huesca,8.1,,19,0,3,3,0.0
ZORITA DEL MAESTRAZGO,Comunitat Valenciana,Castellón/Castelló,8.1,,61,0,3,3,0.0
SEQUERA DE HAZA (LA),Castilla y León,Burgos,7.7,,7,0,3,3,0.0
SENTIU DE SIÓ (LA),Cataluña,Lleida,8.3,,12,0,1,1,0.0
SERRATELLA (LA),Comunitat Valenciana,Castellón/Castelló,7.866666666666667,,61,0,3,3,0.0
ALBALATE DE CINCA,Aragón,Huesca,7.8,,61,0,3,3,0.0
SERRADILLA DEL LLANO,Castilla y León,Salamanca,6.5,,13,0,4,4,0.0
SERRANILLOS,Castilla y León,Avila,8.4,,13,0,4,4,0.0
BENISSUERA,Comunitat Valenciana,Valencia/València,7.688888888888889,235.0,170,0,19,19,0.0
SERRADA,Castilla y León,Valladolid,8.05,,26,0,6,6,0.0
SERRADA (LA),Castilla y León,Avila,7.6,,13,0,4,4,0.0
SECASTILLA,Aragón,Huesca,8.0,,77,0,4,4,0.0
BODONAL DE LA SIERRA,Extremadura,Badajoz,7.366666666666667,270.0,78,0,5,5,0.0
ÒRRIUS,Cataluña,Barcelona,8.1,,268,0,223,223,0.0
SEBÚLCOR,Castilla y León,Segovia,8.3,,12,0,3,3,0.0
SAYALONGA,Andalucía,Málaga,7.933333333333334,199.0,71,0,3,3,0.0
BODÓN (EL),Castilla y León,Salamanca,6.7,,10,0,1,1,0.0
ABADIÑO,País Vasco,Vizcaya,7.58125,,242,0,22,22,0.0
ABIA DE LAS TORRES,Castilla y León,Palencia,7.8,,15,0,4,4,0.0
ZUÑEDA,Castilla y León,Burgos,8.1,,12,0,3,3,0.0
BLIECOS,Castilla y León,Soria,7.7,,13,0,4,4,0.0
BLANCAS,Aragón,Teruel,7.5,,16,0,2,2,0.0
TIJARAFE,Canarias,Santa Cruz de Tenerife,8.608333333333333,,99,0,17,17,0.0
SÁSTAGO,Aragón,Zaragoza,8.25,,56,0,2,2,0.0
VINAIXA,Cataluña,Lleida,8.1,,12,0,1,1,0.0
ALARILLA,Castilla - La Mancha,Guadalajara,8.0,,23,0,3,3,0.0
ALBANCHEZ DE MÁGINA,Andalucía,Jaén,8.033333333333333,,69,0,3,3,0.0
VILLORES,Comunitat Valenciana,Castellón/Castelló,8.166666666666666,,61,0,3,3,0.0
SUFLÍ,Andalucía,Almería,7.5,,10,0,1,1,0.0
VITA,Castilla y León,Avila,7.699999999999999,,55,0,4,4,0.0
ALBA DE CERRATO,Castilla y León,Palencia,7.8,,13,0,3,3,0.0
VIVER,Comunitat Valenciana,Castellón/Castelló,7.866666666666666,,61,0,3,3,0.0
BENITAGLA,Andalucía,Almería,7.8,,11,0,1,1,0.0
TABERNO,Andalucía,Almería,8.059999999999999,,86,0,5,5,0.0
VIZMANOS,Castilla y León,Soria,8.05,,24,0,6,6,0.0
VIÑEGRA DE MORAÑA,Castilla y León,Avila,7.3,,25,0,7,7,0.0
ALBATÀRREC,Cataluña,Lleida,8.172972972972973,,309,0,37,37,0.0
ALAMILLO,Castilla - La Mancha,Ciudad Real,7.525,,115,0,8,8,0.0
SUELLACABRAS,Castilla y León,Soria,7.675,,75,0,8,8,0.0
ALBA DE YELTES,Castilla y León,Salamanca,7.0,,14,0,4,4,0.0
VISIEDO,Aragón,Teruel,7.65,,54,0,2,2,0.0
SENTERADA,Cataluña,Lleida,8.0,,12,0,1,1,0.0
ALBALATILLO,Aragón,Huesca,8.1,,16,0,2,2,0.0
BLASCOMILLÁN,Castilla y León,Avila,7.4,,12,0,3,3,0.0
ZARRA,Comunitat Valenciana,Valencia/València,7.95,320.0,65,0,4,4,0.0
BOADELLA I LES ESCAULES,Cataluña,Girona,7.6,296.0,47,0,10,10,0.0
ALBAGÉS (L'),Cataluña,Lleida,8.2,,12,0,1,1,0.0
ZURGENA,Andalucía,Almería,7.979999999999999,,174,0,10,10,0.0
SIETE IGLESIAS DE TRABANCOS,Castilla y León,Valladolid,7.449999999999999,,56,0,4,4,0.0
BERROCAL DE HUEBRA,Castilla y León,Salamanca,7.6,,12,0,3,3,0.0
SUSINOS DEL PÁRAMO,Castilla y León,Burgos,7.7,,11,0,2,2,0.0
AGUILAR DEL RÍO ALHAMA,"Rioja, La",Rioja (La),7.725,,85,0,4,4,0.0
ZAHARA,Andalucía,Cádiz,7.583333333333333,245.0,100,0,6,6,0.0
VISTABELLA DEL MAESTRAT,Comunitat Valenciana,Castellón/Castelló,8.2,,61,0,3,3,0.0
BENIMODO,Comunitat Valenciana,Valencia/València,7.659999999999999,350.0,103,0,5,5,0.0
BENISSA,Comunitat Valenciana,Alicante/Alacant,7.933333333333334,240.0,173,0,9,9,0.0
ALBANCHEZ,Andalucía,Almería,7.840000000000001,,84,0,5,5,0.0
VINIEGRA DE ABAJO,"Rioja, La",Rioja (La),7.949999999999999,,24,0,2,2,0.0
BOCIGAS,Castilla y León,Valladolid,8.1,,13,0,4,4,0.0
ABAJAS,Castilla y León,Burgos,7.2,,10,0,1,1,0.0
BOBADILLA DEL CAMPO,Castilla y León,Valladolid,8.0,,14,0,4,4,0.0
BERRUECES,Castilla y León,Valladolid,8.1,,53,0,4,4,0.0
AGUILAR DE CAMPOS,Castilla y León,Valladolid,8.3,,52,0,3,3,0.0
BOCA DE HUÉRGANO,Castilla y León,León,6.75,,22,0,4,4,0.0
AGUILAR DE BUREBA,Castilla y León,Burgos,7.8,,12,0,3,3,0.0
BERZOSILLA,Castilla y León,Palencia,8.0,,12,0,3,3,0.0
SEDELLA,Andalucía,Málaga,7.76,218.66666666666663,127,0,5,5,0.0
SESUÉ,Aragón,Huesca,7.8,,15,0,2,2,0.0
BLACOS,Castilla y León,Soria,7.8,,67,0,9,9,0.0
ABUSEJO,Castilla y León,Salamanca,8.0,,12,0,3,3,0.0
SESA,Aragón,Huesca,7.8,,61,0,3,3,0.0
SILES,Andalucía,Jaén,7.800000000000001,,50,0,2,2,0.0
ZARATÁN,Castilla y León,Valladolid,7.7,,69,0,11,11,0.0
BIERGE,Aragón,Huesca,7.85,,76,0,5,5,0.0
BEZAS,Aragón,Teruel,7.8,,21,0,3,3,0.0
BERROCAL DE SALVATIERRA,Castilla y León,Salamanca,,,2,0,2,2,0.0
SOLARANA,Castilla y León,Burgos,7.8,,13,0,4,4,0.0
SIDAMON,Cataluña,Lleida,8.1,,12,0,1,1,0.0
ACEBEDO,Castilla y León,León,7.833333333333333,,33,0,5,5,0.0
BOBADILLA,"Rioja, La",Rioja (La),7.7,,12,0,1,1,0.0
ADALIA,Castilla y León,Valladolid,7.8,,12,0,3,3,0.0
ZAZUAR,Castilla y León,Burgos,7.7,,8,0,4,4,0.0
SEGURA,País Vasco,Guipúzcoa,7.9263157894736835,183.0,252,0,19,19,0.0
ADAHUESCA,Aragón,Huesca,7.8,,56,0,3,3,0.0
BISCARRUÉS,Aragón,Huesca,7.8,,66,0,4,4,0.0
BOCEGUILLAS,Castilla y León,Segovia,7.766666666666667,,69,0,8,8,0.0
ACEBO,Extremadura,Cáceres,7.0,,40,0,1,1,0.0
ZARZA DE PUMAREDA (LA),Castilla y León,Salamanca,7.5,,12,0,3,3,0.0
SIERRO,Andalucía,Almería,8.0,,21,0,2,2,0.0
ADRADA DE HAZA,Castilla y León,Burgos,7.9,,47,0,3,3,0.0
ADOR,Comunitat Valenciana,Valencia/València,7.51111111111111,,190,0,10,10,0.0
ADIÓS,"Navarra, Com. Foral de",Navarra,8.149999999999999,,26,0,2,2,0.0
BINÉFAR,Aragón,Huesca,8.275,,41,0,4,4,0.0
SIERPE (LA),Castilla y León,Salamanca,,,2,0,2,2,0.0
ZARZOSA DE RÍO PISUERGA,Castilla y León,Burgos,7.9,,12,0,3,3,0.0
ZARZUELA DE JADRAQUE,Castilla - La Mancha,Guadalajara,7.0,,10,0,1,1,0.0
SOLANILLOS DEL EXTREMO,Castilla - La Mancha,Guadalajara,8.0,,10,0,1,1,0.0
SIENES,Castilla - La Mancha,Guadalajara,7.6,,10,0,1,1,0.0
BERZOSA DEL LOZOYA,"Madrid, Comunidad de",Madrid,8.809999999999999,,273,0,20,20,0.0
