seccion_censal,municipio,ccaa,CPRO,CMUN,CODAUTO,longitud,latitud,generacion_norm,sequia_norm,no_potabilidad_norm,poblacion_ideal_norm,renta_hogar_norm,ccaa_norm,sequia_imputada,puntuacion_final
4302301001,Bellmunt del Priorat,Cataluña,43,23,9,0.759751,41.158892,0.6214717032536644,0.005194644425141921,0.8765398706314627,0.8863965470565692,0.1463538107170881,1.0,False,0.6408037785718396
1701502001,Banyoles,Cataluña,17,15,9,2.75984,42.11109,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.8937490561713608,0.4230136431518465,1.0,False,0.6323139310069287
0829501009,Vallirana,Cataluña,8,295,9,1.911313,41.377904,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.9093167649134632,0.3256891183840838,1.0,False,0.6311919538643804
0829501006,Vallirana,Cataluña,8,295,9,1.917358,41.367264,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.9043465368775822,0.3256891183840838,1.0,False,0.6303967173786394
0829501008,Vallirana,Cataluña,8,295,9,1.890423,41.383919,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.903157140445442,0.3256891183840838,1.0,False,0.6302064139494971
0829501005,Vallirana,Cataluña,8,295,9,1.895216,41.371296,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.9005531205632828,0.3256891183840838,1.0,False,0.6297897707683515
0829501003,Vallirana,Cataluña,8,295,9,1.928158,41.389706,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.899444297092767,0.3256891183840838,1.0,False,0.629612359013069
0829501002,Vallirana,Cataluña,8,295,9,1.935496,41.386136,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.8985415903330733,0.3256891183840838,1.0,False,0.629467925931518
0829501001,Vallirana,Cataluña,8,295,9,1.935567,41.38808,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.8972462456608394,0.3256891183840838,1.0,False,0.6292606707839606
1701502005,Banyoles,Cataluña,17,15,9,2.757873,42.124535,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.8905252595567288,0.4005366137646493,1.0,False,0.627977028552764
0829501010,Vallirana,Cataluña,8,295,9,1.937704,41.363203,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.8876992273233535,0.3256891183840838,1.0,False,0.6277331478499628
0829501004,Vallirana,Cataluña,8,295,9,1.937236,41.386121,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.8871166117954038,0.3256891183840838,1.0,False,0.627639929365491
0829501007,Vallirana,Cataluña,8,295,9,1.940373,41.378632,0.5651674122180903,0.0006173277149047494,0.69993216098305,0.8856454055194447,0.3256891183840838,1.0,False,0.6274045363613374
4311701001,Prat de Comte,Cataluña,43,117,9,0.41147,40.975243,0.6214717032536644,0.001162917141155244,0.7374264321773054,0.8733584320150736,0.2001290910471562,1.0,False,0.6177636682846753
1701502002,Banyoles,Cataluña,17,15,9,2.764259,42.115947,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.9013583508635072,0.3252335029235325,1.0,False,0.6169087943188588
1701502004,Banyoles,Cataluña,17,15,9,2.765369,42.114194,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.8992885486850488,0.3258283342192523,1.0,False,0.6166787472905778
1701502003,Banyoles,Cataluña,17,15,9,2.75414,42.117335,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.8986774875571255,0.3212468676437087,1.0,False,0.6158021281922677
1701501005,Banyoles,Cataluña,17,15,9,2.780327,42.124893,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.9024999264895102,0.2937707241754626,1.0,False,0.6117427740318473
1701503001,Banyoles,Cataluña,17,15,9,2.771633,42.109391,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.9006747601533011,0.2822790897815577,1.0,False,0.6094971695710901
4306101001,Forès,Cataluña,43,61,9,1.230688,41.492142,0.6214717032536644,0.0022233912921324956,0.7676773840881651,0.8068660910873996,0.1702989343660617,1.0,False,0.6086226072065235
1701501002,Banyoles,Cataluña,17,15,9,2.767307,42.116672,0.4624700715015423,0.0043593252501399355,0.6850689173548205,0.9103048056843392,0.2580808464322778,1.0,False,0.6069242754866786
